# dt=0.025000000000000001 sample_every_steps=10 sample_dt=0.25 start_time=200
# probe0 label=center component=ey x=0 y=0 z=0
# probe1 label=x+0.25 component=ey x=0.25 y=0 z=0
# probe2 label=y+0.25 component=ey x=0 y=0.25 z=0
t,re0,im0,re1,im1,re2,im2
200,0,0,0,0,0,0
200.25,0,0,0,0,0,0
200.5,0,0,0,0,0,0
200.75,0,0,0,0,0,0
201,0,0,0,0,0,0
201.25,0,0,0,0,0,0
201.5,0,0,0,0,0,0
201.75,0,0,0,0,0,0
202,0,0,0,0,0,0
202.25,0,0,0,0,0,0
202.5,0,0,0,0,0,0
202.75,0,0,0,0,0,0
203,0,0,0,0,0,0
203.25,0,0,0,0,0,0
203.5,0,0,0,0,0,0
203.75,0,0,0,0,0,0
204,0,0,0,0,0,0
204.25,0,0,0,0,0,0
204.5,0,0,0,0,0,0
204.75,0,0,0,0,0,0
205,0,0,0,0,0,0
205.25,0,0,0,0,0,0
205.5,0,0,0,0,0,0
205.75,0,0,0,0,0,0
206,0,0,0,0,0,0
206.25,0,0,0,0,0,0
206.5,0,0,0,0,0,0
206.75,0,0,0,0,0,0
207,0,0,0,0,0,0
207.25,0,0,0,0,0,0
207.5,0,0,0,0,0,0
207.75,0,0,0,0,0,0
208,0,0,0,0,0,0
208.25,0,0,0,0,0,0
208.5,0,0,0,0,0,0
208.75,0,0,0,0,0,0
209,0,0,0,0,0,0
209.25,0,0,0,0,0,0
209.5,0,0,0,0,0,0
209.75,0,0,0,0,0,0
210,0,0,0,0,0,0
210.25,0,0,0,0,0,0
210.5,0,0,0,0,0,0
210.75,0,0,0,0,0,0
211,0,0,0,0,0,0
211.25,0,0,0,0,0,0
211.5,0,0,0,0,0,0
211.75,0,0,0,0,0,0
212,0,0,0,0,0,0
212.25,0,0,0,0,0,0
212.5,0,0,0,0,0,0
212.75,0,0,0,0,0,0
213,0,0,0,0,0,0
213.25,0,0,0,0,0,0
213.5,0,0,0,0,0,0
213.75,0,0,0,0,0,0
214,0,0,0,0,0,0
214.25,0,0,0,0,0,0
214.5,0,0,0,0,0,0
214.75,0,0,0,0,0,0
215,0,0,0,0,0,0
215.25,0,0,0,0,0,0
215.5,0,0,0,0,0,0
215.75,0,0,0,0,0,0
216,0,0,0,0,0,0
216.25,0,0,0,0,0,0
216.5,0,0,0,0,0,0
216.75,0,0,0,0,0,0
217,0,0,0,0,0,0
217.25,0,0,0,0,0,0
217.5,0,0,0,0,0,0
217.75,0,0,0,0,0,0
218,0,0,0,0,0,0
218.25,0,0,0,0,0,0
218.5,0,0,0,0,0,0
218.75,0,0,0,0,0,0
219,0,0,0,0,0,0
219.25,0,0,0,0,0,0
219.5,0,0,0,0,0,0
219.75,0,0,0,0,0,0
220,0,0,0,0,0,0
220.25,0,0,0,0,0,0
220.5,0,0,0,0,0,0
220.75,0,0,0,0,0,0
221,0,0,0,0,0,0
221.25,0,0,0,0,0,0
221.5,0,0,0,0,0,0
221.75,0,0,0,0,0,0
222,0,0,0,0,0,0
222.25,0,0,0,0,0,0
222.5,0,0,0,0,0,0
222.75,0,0,0,0,0,0
223,0,0,0,0,0,0
223.25,0,0,0,0,0,0
223.5,0,0,0,0,0,0
223.75,0,0,0,0,0,0
224,0,0,0,0,0,0
224.25,0,0,0,0,0,0
224.5,0,0,0,0,0,0
224.75,0,0,0,0,0,0
225,0,0,0,0,0,0
225.25,0,0,0,0,0,0
225.5,0,0,0,0,0,0
225.75,0,0,0,0,0,0
226,0,0,0,0,0,0
226.25,0,0,0,0,0,0
226.5,0,0,0,0,0,0
226.75,0,0,0,0,0,0
227,0,0,0,0,0,0
227.25,0,0,0,0,0,0
227.5,0,0,0,0,0,0
227.75,0,0,0,0,0,0
228,0,0,0,0,0,0
228.25,0,0,0,0,0,0
228.5,0,0,0,0,0,0
228.75,0,0,0,0,0,0
229,0,0,0,0,0,0
229.25,0,0,0,0,0,0
229.5,0,0,0,0,0,0
229.75,0,0,0,0,0,0
230,0,0,0,0,0,0
230.25,0,0,0,0,0,0
230.5,0,0,0,0,0,0
230.75,0,0,0,0,0,0
231,0,0,0,0,0,0
231.25,0,0,0,0,0,0
231.5,0,0,0,0,0,0
231.75,0,0,0,0,0,0
232,0,0,0,0,0,0
232.25,0,0,0,0,0,0
232.5,0,0,0,0,0,0
232.75,0,0,0,0,0,0
233,0,0,0,0,0,0
233.25,0,0,0,0,0,0
233.5,0,0,0,0,0,0
233.75,0,0,0,0,0,0
234,0,0,0,0,0,0
234.25,0,0,0,0,0,0
234.5,0,0,0,0,0,0
234.75,0,0,0,0,0,0
235,0,0,0,0,0,0
235.25,0,0,0,0,0,0
235.5,0,0,0,0,0,0
235.75,0,0,0,0,0,0
236,0,0,0,0,0,0
236.25,0,0,0,0,0,0
236.5,0,0,0,0,0,0
236.75,0,0,0,0,0,0
237,0,0,0,0,0,0
237.25,0,0,0,0,0,0
237.5,0,0,0,0,0,0
237.75,0,0,0,0,0,0
238,0,0,0,0,0,0
238.25,0,0,0,0,0,0
238.5,0,0,0,0,0,0
238.75,0,0,0,0,0,0
239,0,0,0,0,0,0
239.25,0,0,0,0,0,0
239.5,0,0,0,0,0,0
239.75,0,0,0,0,0,0
240,0,0,0,0,0,0
240.25,0,0,0,0,0,0
240.5,0,0,0,0,0,0
240.75,0,0,0,0,0,0
241,0,0,0,0,0,0
241.25,0,0,0,0,0,0
241.5,0,0,0,0,0,0
241.75,0,0,0,0,0,0
242,0,0,0,0,0,0
242.25,0,0,0,0,0,0
242.5,0,0,0,0,0,0
242.75,0,0,0,0,0,0
243,0,0,0,0,0,0
243.25,0,0,0,0,0,0
243.5,0,0,0,0,0,0
243.75,0,0,0,0,0,0
244,0,0,0,0,0,0
244.25,0,0,0,0,0,0
244.5,0,0,0,0,0,0
244.75,0,0,0,0,0,0
245,0,0,0,0,0,0
245.25,0,0,0,0,0,0
245.5,0,0,0,0,0,0
245.75,0,0,0,0,0,0
246,0,0,0,0,0,0
246.25,0,0,0,0,0,0
246.5,0,0,0,0,0,0
246.75,0,0,0,0,0,0
247,0,0,0,0,0,0
247.25,0,0,0,0,0,0
247.5,0,0,0,0,0,0
247.75,0,0,0,0,0,0
248,0,0,0,0,0,0
248.25,0,0,0,0,0,0
248.5,0,0,0,0,0,0
248.75,0,0,0,0,0,0
249,0,0,0,0,0,0
249.25,0,0,0,0,0,0
249.5,0,0,0,0,0,0
249.75,0,0,0,0,0,0
250,0,0,0,0,0,0
250.25,0,0,0,0,0,0
250.5,0,0,0,0,0,0
250.75,0,0,0,0,0,0
251,0,0,0,0,0,0
251.25,0,0,0,0,0,0
251.5,0,0,0,0,0,0
251.75,0,0,0,0,0,0
252,0,0,0,0,0,0
252.25,0,0,0,0,0,0
252.5,0,0,0,0,0,0
252.75,0,0,0,0,0,0
253,0,0,0,0,0,0
253.25,0,0,0,0,0,0
253.5,0,0,0,0,0,0
253.75,0,0,0,0,0,0
254,0,0,0,0,0,0
254.25,0,0,0,0,0,0
254.5,0,0,0,0,0,0
254.75,0,0,0,0,0,0
255,0,0,0,0,0,0
255.25,0,0,0,0,0,0
255.5,0,0,0,0,0,0
255.75,0,0,0,0,0,0
256,0,0,0,0,0,0
256.25,0,0,0,0,0,0
256.5,0,0,0,0,0,0
256.75,0,0,0,0,0,0
257,0,0,0,0,0,0
257.25,0,0,0,0,0,0
257.5,0,0,0,0,0,0
257.75,0,0,0,0,0,0
258,0,0,0,0,0,0
258.25,0,0,0,0,0,0
258.5,0,0,0,0,0,0
258.75,0,0,0,0,0,0
259,0,0,0,0,0,0
259.25,0,0,0,0,0,0
259.5,0,0,0,0,0,0
259.75,0,0,0,0,0,0
260,0,0,0,0,0,0
260.25,0,0,0,0,0,0
260.5,0,0,0,0,0,0
260.75,0,0,0,0,0,0
261,0,0,0,0,0,0
261.25,0,0,0,0,0,0
261.5,0,0,0,0,0,0
261.75,0,0,0,0,0,0
262,0,0,0,0,0,0
262.25,0,0,0,0,0,0
262.5,0,0,0,0,0,0
262.75,0,0,0,0,0,0
263,0,0,0,0,0,0
263.25,0,0,0,0,0,0
263.5,0,0,0,0,0,0
263.75,0,0,0,0,0,0
264,0,0,0,0,0,0
264.25,0,0,0,0,0,0
264.5,0,0,0,0,0,0
264.75,0,0,0,0,0,0
265,0,0,0,0,0,0
265.25,0,0,0,0,0,0
265.5,0,0,0,0,0,0
265.75,0,0,0,0,0,0
266,0,0,0,0,0,0
266.25,0,0,0,0,0,0
266.5,0,0,0,0,0,0
266.75,0,0,0,0,0,0
267,0,0,0,0,0,0
267.25,0,0,0,0,0,0
267.5,0,0,0,0,0,0
267.75,0,0,0,0,0,0
268,0,0,0,0,0,0
268.25,0,0,0,0,0,0
268.5,0,0,0,0,0,0
268.75,0,0,0,0,0,0
269,0,0,0,0,0,0
269.25,0,0,0,0,0,0
269.5,0,0,0,0,0,0
269.75,0,0,0,0,0,0
270,0,0,0,0,0,0
270.25,0,0,0,0,0,0
270.5,0,0,0,0,0,0
270.75,0,0,0,0,0,0
271,0,0,0,0,0,0
271.25,0,0,0,0,0,0
271.5,0,0,0,0,0,0
271.75,0,0,0,0,0,0
272,0,0,0,0,0,0
272.25,0,0,0,0,0,0
272.5,0,0,0,0,0,0
272.75,0,0,0,0,0,0
273,0,0,0,0,0,0
273.25,0,0,0,0,0,0
273.5,0,0,0,0,0,0
273.75,0,0,0,0,0,0
274,0,0,0,0,0,0
274.25,0,0,0,0,0,0
274.5,0,0,0,0,0,0
274.75,0,0,0,0,0,0
275,0,0,0,0,0,0
275.25,0,0,0,0,0,0
275.5,0,0,0,0,0,0
275.75,0,0,0,0,0,0
276,0,0,0,0,0,0
276.25,0,0,0,0,0,0
276.5,0,0,0,0,0,0
276.75,0,0,0,0,0,0
277,0,0,0,0,0,0
277.25,0,0,0,0,0,0
277.5,0,0,0,0,0,0
277.75,0,0,0,0,0,0
278,0,0,0,0,0,0
278.25,0,0,0,0,0,0
278.5,0,0,0,0,0,0
278.75,0,0,0,0,0,0
279,0,0,0,0,0,0
279.25,0,0,0,0,0,0
279.5,0,0,0,0,0,0
279.75,0,0,0,0,0,0
280,0,0,0,0,0,0
280.25,0,0,0,0,0,0
280.5,0,0,0,0,0,0
280.75,0,0,0,0,0,0
281,0,0,0,0,0,0
281.25,0,0,0,0,0,0
281.5,0,0,0,0,0,0
281.75,0,0,0,0,0,0
282,0,0,0,0,0,0
282.25,0,0,0,0,0,0
282.5,0,0,0,0,0,0
282.75,0,0,0,0,0,0
283,0,0,0,0,0,0
283.25,0,0,0,0,0,0
283.5,0,0,0,0,0,0
283.75,0,0,0,0,0,0
284,0,0,0,0,0,0
