# fmin=0.16 fmax=0.35999999999999999 nf=200
freq,top,bottom,left,right,front,back,total
0.16,0,-0,-0,0,0,-0,0
0.16100502512562814,0,-0,-0,0,0,-0,0
0.16201005025125628,0,-0,-0,0,0,-0,0
0.16301507537688442,0,-0,-0,0,0,-0,0
0.16402010050251256,0,-0,-0,0,0,-0,0
0.1650251256281407,0,-0,-0,0,0,-0,0
0.16603015075376884,0,-0,-0,0,0,-0,0
0.16703517587939698,0,-0,-0,0,0,-0,0
0.16804020100502512,0,-0,-0,0,0,-0,0
0.16904522613065326,0,-0,-0,0,0,-0,0
0.1700502512562814,0,-0,-0,0,0,-0,0
0.17105527638190954,0,-0,-0,0,0,-0,0
0.17206030150753771,0,-0,-0,0,0,-0,0
0.17306532663316582,0,-0,-0,0,0,-0,0
0.17407035175879398,0,-0,-0,0,0,-0,0
0.17507537688442212,0,-0,-0,0,0,-0,0
0.17608040201005026,0,-0,-0,0,0,-0,0
0.1770854271356784,0,-0,-0,0,0,-0,0
0.17809045226130654,0,-0,-0,0,0,-0,0
0.17909547738693468,0,-0,-0,0,0,-0,0
0.18010050251256282,0,-0,-0,0,0,-0,0
0.18110552763819096,0,-0,-0,0,0,-0,0
0.1821105527638191,0,-0,-0,0,0,-0,0
0.18311557788944724,0,-0,-0,0,0,-0,0
0.18412060301507538,0,-0,-0,0,0,-0,0
0.18512562814070352,0,-0,-0,0,0,-0,0
0.18613065326633166,0,-0,-0,0,0,-0,0
0.1871356783919598,0,-0,-0,0,0,-0,0
0.18814070351758794,0,-0,-0,0,0,-0,0
0.18914572864321608,0,-0,-0,0,0,-0,0
0.19015075376884422,0,-0,-0,0,0,-0,0
0.19115577889447236,0,-0,-0,0,0,-0,0
0.1921608040201005,0,-0,-0,0,0,-0,0
0.19316582914572863,0,-0,-0,0,0,-0,0
0.19417085427135677,0,-0,-0,0,0,-0,0
0.19517587939698491,0,-0,-0,0,0,-0,0
0.19618090452261305,0,-0,-0,0,0,-0,0
0.19718592964824122,0,-0,-0,0,0,-0,0
0.19819095477386933,0,-0,-0,0,0,-0,0
0.1991959798994975,0,-0,-0,0,0,-0,0
0.20020100502512561,0,-0,-0,0,0,-0,0
0.20120603015075378,0,-0,-0,0,0,-0,0
0.20221105527638192,0,-0,-0,0,0,-0,0
0.20321608040201006,0,-0,-0,0,0,-0,0
0.2042211055276382,0,-0,-0,0,0,-0,0
0.20522613065326634,0,-0,-0,0,0,-0,0
